2022-07-06T12:13:56.143+0800 [INFO]  logging/logging.go:51: rotated logging: next="2022-07-07T00:00:00+08:00"
2022-07-06T17:49:36.641+0800 [INFO]  logging/logging.go:45: rotate logging: next="2022-07-07T00:00:00+08:00"
2022-07-06T17:49:36.643+0800 [INFO]  server/server_backend.go:34: register backend: name=account
2022-07-06T17:49:36.643+0800 [INFO]  transport/transport.go:47: transport: initialize handle: path=/example/api method=POST
2022-07-06T17:49:36.643+0800 [INFO]  server/server_document.go:39: initialize handle: path=/example/docs
2022-07-06T17:49:36.643+0800 [INFO]  server/server.go:63: start starting
2022-07-06T17:49:36.644+0800 [INFO]  server/server.go:65: server listening on : address=0.0.0.0:8081
2022-07-06T17:49:52.328+0800 [INFO]  logging/logging.go:45: rotate logging: next="2022-07-07T00:00:00+08:00"
2022-07-06T17:49:52.329+0800 [INFO]  server/server_backend.go:34: register backend: name=account
2022-07-06T17:49:52.329+0800 [INFO]  transport/transport.go:47: transport: initialize handle: path=/example/api method=POST
2022-07-06T17:49:52.329+0800 [INFO]  server/server_document.go:39: initialize handle: path=/example/docs
2022-07-06T17:49:52.329+0800 [INFO]  server/server.go:63: start starting
2022-07-06T17:49:52.329+0800 [INFO]  server/server.go:65: server listening on : address=0.0.0.0:8081
2022-07-06T17:49:52.330+0800 [INFO]  server/server.go:92: server start completed
